track_title,artist,bpm,key,genre,frat_basement_essential,vibe_score
Wildest Dreams (SUMMER EDIT),CAM JONES,135.0,4B,House,0,0.032317578492202625
Tití Me Preguntó,Bad-Bunny,111.02,4A,Latin Music,0,2.0954176370038526
Dom $ - Black Betty Remix (Joule version) [Free Download],Joule,132.0,4A,House,0,0.06874300980384447
"Kid Cudi - Up, Up & Away (BVRNOUT Remix)",BVRNOUT,127.0,3A,Dance & EDM,0,1.2787290598447383
Fade Together,it's murph,127.0,3B,Dance,0,1.2648285261065415
Dance No More (with Kaleena Zanders),Sunday Scaries,126.99,3A,Dance,0,1.0724328030501555
CORA DE HIELO,RØZ,130.0,3A,House,0,1.1712132989737056
I Love It (feat. Charli XCX),Icona Pop,126.0,3B,Electronic,0,1.1723138714617285
You Were Right,RÜFÜS DU SOL,122.0,4B,RUFUS,0,1.081107754449847
"DISCO LINES, GUDFELLA - Sunny",Disco Lines,126.0,4A,DISCO DISCO DISCO,0,1.018644617855
Oden & Fatzo x Poppy Baskcomb - Tell Me What You Want,ODEN & FATZO,128.0,3A,House,0,1.1913901830072533
Rampa - Les Gout feat. Chuala,Lucas Silveira,120.0,3A,House,0,1.060974324092944
A$AP Rocky & Frank Ocean - Ivy Money Trees (Kysela Mix),Kysela,132.0,7A,House,0,0.1711024051907504
One Kiss,Calvin Harris,124.0,8A,Dance,0,1.238267509970704
Flo Rida - Right Round,DownAzChick,125.0,8A,,0,1.1110692551048051
The Cranberries - Linger - House Remix,Mixmasta Hubbs,120.0,8B,House Remix,0,1.1562721101270848
Clouds,BUNT.,130.0,8A,Dance,0,1.1869225673350876
This Is What You Came For (feat. Rihanna),Calvin Harris,124.0,8B,Dance,0,1.1533221505356406
"Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala)",Keinemusik,120.0,8B,Afro House,0,1.2791410581878186
Unwritten (NETTED Remix),NETTED,115.0,7B,,0,2.193661242771981
Where Do I Belong?,Ship Wrek,125.0,7A,Dance,0,1.2397634050006328
NLE Choppa - SLUT ME OUT (CARLYLE Remix) FREE DL - [pitched],CARLYLE,128.0,6A,,0,1.2838222037688833
CACHOEIRA,Mani Schmah,120.0,6A,House,0,1.269943223117017
Friendly Pressure (Into The Sunshine Edit),Jhelisa,126.87,6A,Electronic,0,1.1353427630985249
NYP2 x SWEET DISPOSITION (discozyn edit),DISCOZYN,124.0,6A,House,0,1.0410123610523667
On My Mind,Diplo,123.0,6A,Dance & EDM,0,1.2809868266780886
Lose My Mind,Jamie Jones,124.0,5A,House,0,1.0812739177002404
Headlock - Imogen Heap (Liyah Afro House remix),LIYAH AZAR,124.0,6A,Deep House,0,1.2590737545503052
Deep Down (feat. Never Dull),Alok,126.0,7A,Dance,0,1.2047467127539067
Cherub - Doses and Mimosas (SandiBuns Remix),SandiBuns,125.0,7B,Deep Sea House,0,1.0561105807169326
Empire Of The Sun - Alive (thein Remix),Thein,128.0,8B,Deep House,0,1.204388289553712
These Words,Badger,130.0,7B,Dance,0,1.1230443538798178
Peace of Mind,Disco Lines,131.89,8B,Electronic,0,0.012718879917741654
Dom Dolla - You,⠶ Dom Dolla ⠶,121.96,8A,House,0,1.2449026015699483
Sattam - Bowa [Eton Messy Records],Eton Messy Records,122.0,9B,House,0,1.2512953616100653
One More Time,Daft Punk,122.88,10B,Electronic,0,1.1966007979001152
Summer,Calvin Harris,128.0,9B,Dance,0,1.0968934242474326
Massive,octobersveryown,125.0,9A,Dance,0,1.1960388860763034
Lick That (Max Styler Remix),djimanos,124.0,9A,Electronic,0,1.2183558502070677
Down Low,Dombresky,122.0,10A,Dance,0,1.0971588082388828
Cure And The Cause,DannyGhost__,130.0,11A,,0,1.2863416972261548
LEVELS,FUZION,140.0,10A,Dance,0,0.2577179239181141
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,116.04,11A,Electronic,0,2.29284505192143
Sit Next to Me (Stereotypes Remix),Foster The People,105.0,11B,Alternative,0,2.073741570584256
In The Streets,MARTIN IKIN,128.0,11A,Dance,0,1.0071894153895178
The Days (NOTION Remix),CHRYSTAL,138.0,10A,Dance,0,0.2276105229960072
Justin Timberlake - My Love (it's murph Remix),it's murph,128.0,9A,House,0,1.1460576391322217
Lick That (Max Styler Remix),djimanos,124.0,9A,Electronic,0,1.2183558502070677
